,Name,Entrynumber,Timestamp,Totaltime,Status
111,eDCrvEorED,8171YIR4620," 11:04:26 AM, 11:04:35 AM,0.15
,",0.15,Absent
112,UeJsCAgqnS,," 11:04:31 AM, 11:04:45 AM,0.23333333333333334
,",0.23,Absent
113,upGbxkLqRg,0160WVX3227," 11:04:42 AM, 11:04:59 AM,0.2833333333333333
, 11:04:59 AM, 11:05:34 AM,0.5833333333333334
, 11:07:32 AM, 11:12:04 AM,4.533333333333333
,",5.4,Absent
114,eXbrxbpOlp,9077YVB1573," 11:05:04 AM, 11:05:46 AM,0.7
, 11:05:46 AM, 12:30:00 PM,84.23333333333333
",0.7,Absent
115,kokIoYgOcU,," 11:05:06 AM, 12:24:57 PM,79.85
,",79.85,Present
116,uxSFLUSoQP,6252QPF1234," 11:05:07 AM, 11:14:35 AM,9.466666666666667
,",9.47,Absent
117,UqAsVrvsLx,8820IDD9154," 11:05:59 AM, 11:06:25 AM,0.43333333333333335
, 11:06:40 AM, 11:51:48 AM,45.13333333333333
, 11:57:55 AM, 12:30:00 PM,32.083333333333336
",45.57,Present
118,ZgkKZTGliE,," 11:06:11 AM, 12:05:09 PM,58.96666666666667
,",58.97,Present
119,VwwoahpPrh,9707CGK2887," 11:06:32 AM, 11:23:56 AM,17.4
,",17.4,Absent
120,MYzBWuAQzc,2958IBE0914," 11:06:47 AM, 12:25:04 PM,78.28333333333333
,",78.28,Present
121,jsrNooHiGn,9683EBE1780," 11:06:52 AM, 12:25:05 PM,78.21666666666667
,",78.22,Present
122,GBXweYDqsg,8427OXZ8258," 11:06:54 AM, 12:26:56 PM,80.03333333333333
,",80.03,Present
123,zbNFtvKtoc,3362CUC5152," 11:07:04 AM, 12:24:40 PM,77.6
,",77.6,Present
124,PnMrPHdHma,0832MKG4291," 11:07:05 AM, 12:01:45 PM,54.666666666666664
,",54.67,Present
125,oCVHmwmMQO,3874AED5155," 11:07:16 AM, 11:15:45 AM,8.483333333333333
, 11:16:35 AM, 12:25:01 PM,68.43333333333334
,",76.92,Present
126,miSfyBecFr,7719MSV8167," 11:07:24 AM, 11:56:41 AM,49.28333333333333
,",49.28,Present
127,DpchnMBfah,2661RRC7034," 11:07:27 AM, 12:24:57 PM,77.5
,",77.5,Present
128,ErAcGNCLoU,0993HDA4785," 11:07:35 AM, 11:20:47 AM,13.2
,",13.2,Absent
129,sNWAQuVvvv,0698TFZ4702," 11:07:40 AM, 12:30:00 PM,82.33333333333333
",0,Absent
130,TtygqpMZQO,0349LNS0250," 11:07:51 AM, 12:25:13 PM,77.36666666666666
,",77.37,Present
131,HPvGMWizLF,3701HLS7814," 11:08:13 AM, 12:03:57 PM,55.733333333333334
,",55.73,Present
132,mPMaCRYgkW,0042UGE9373," 11:08:28 AM, 12:24:45 PM,76.28333333333333
,",76.28,Present
133,RVKNWyxTCt,5532AQK0459," 11:08:35 AM, 12:24:27 PM,75.86666666666666
,",75.87,Present
134,NLCMcNcLbT,4779EOD3275," 11:08:36 AM, 11:21:07 AM,12.516666666666667
,",12.52,Absent
135,hiKUPhqnaU,1355VAN6641," 11:08:45 AM, 11:14:40 AM,5.916666666666667
,",5.92,Absent
136,koNfxbYTDb,3965HNF7726," 11:09:46 AM, 11:46:00 AM,36.233333333333334
, 11:46:14 AM, 12:25:16 PM,39.03333333333333
,",75.27,Present
137,HTtlWCopbb,6381WML3887," 11:10:25 AM, 12:25:46 PM,75.35
,",75.35,Present
138,sswFOFprNB,5884BJD5270," 11:10:35 AM, 12:25:16 PM,74.68333333333334
,",74.68,Present
139,HOfepDiTtB,8261XAE3637," 11:10:48 AM, 11:14:27 AM,3.65
,",3.65,Absent
140,YNJYwtiWHu,," 11:11:15 AM, 12:30:00 PM,78.75
",0,Absent
141,TbkhYNHyGe,9053UAP2283," 11:11:17 AM, 12:04:07 PM,52.833333333333336
,",52.83,Present
142,rSvuQhHBYG,9587DHI4585," 11:11:30 AM, 12:09:29 PM,57.983333333333334
,",57.98,Present
143,JLUsupafne,5185YZM7415," 11:11:32 AM, 11:13:41 AM,2.15
, 11:13:57 AM, 11:14:05 AM,0.13333333333333333
, 11:18:32 AM, 11:20:49 AM,2.283333333333333
, 11:22:47 AM, 12:25:32 PM,62.75
,",67.32,Present
144,QdrdUQcvQk,7054SZQ9330," 11:12:09 AM, 11:36:04 AM,23.916666666666668
,",23.92,Absent
145,DiJEdoMSYE,3045XOA6936," 11:12:16 AM, 12:30:00 PM,77.73333333333333
",0,Absent
146,yMhTrJwXEX,," 11:12:32 AM, 12:03:03 PM,50.516666666666666
, 12:04:41 PM, 12:11:01 PM,6.333333333333333
,",56.85,Present
147,lUrBhzkGRg,0578CYT0326," 11:13:00 AM, 11:15:15 AM,2.25
,",2.25,Absent
148,ANhvQcqwtS,1827MWX4423," 11:13:06 AM, 12:24:55 PM,71.81666666666666
,",71.82,Present
149,htTALNjEuR,4164BEX1348," 11:13:09 AM, 11:50:42 AM,37.55
,",37.55,Absent
150,rAOxizIzMk,5734SSU9984," 11:14:25 AM, 11:20:25 AM,6.0
,",6.0,Absent
151,pcvxUBipVY,," 11:15:27 AM, 12:25:13 PM,69.76666666666667
,",69.77,Present
152,BqaYnsssOG,4465GPE0982," 11:16:00 AM, 12:30:00 PM,74.0
",0,Absent
153,OGqDsAHXSK,1340IUA3601," 11:16:24 AM, 12:30:00 PM,73.6
",0,Absent
154,YeLgPIQCsf,0280SMO2195," 11:16:33 AM, 11:18:41 AM,2.1333333333333333
,",2.13,Absent
155,vqAcXQdFON,5799AZD8230," 11:16:44 AM, 11:45:33 AM,28.816666666666666
,",28.82,Absent
156,UUxYVGTxOK,0379PCP2600," 11:16:55 AM, 11:48:32 AM,31.616666666666667
, 11:48:46 AM, 11:49:33 AM,0.7833333333333333
,",32.4,Absent
157,EjHmZUIlLi,1144GAR3665," 11:18:06 AM, 11:23:05 AM,4.983333333333333
, 11:29:12 AM, 11:33:57 AM,4.75
,",9.73,Absent
158,bMVutBZhxl,1172WYN2591," 11:19:57 AM, 11:21:25 AM,1.4666666666666666
, 11:24:00 AM, 12:25:03 PM,61.05
,",62.52,Present
159,ehdtdniZKp,0685JGB9978," 11:20:41 AM, 11:23:17 AM,2.6
,",2.6,Absent
160,cYcaStAIlM,1226OEN1098," 11:21:29 AM, 12:24:58 PM,63.483333333333334
,",63.48,Present
161,IFjdylPmIA,8237GEU2376," 11:21:57 AM, 12:25:38 PM,63.68333333333333
,",63.68,Present
162,fuXbmQESKL,5586BZU6628," 11:24:21 AM, 12:24:59 PM,60.63333333333333
,",60.63,Present
163,NmjkRDbTLQ,5412FMV4240," 11:24:22 AM, 11:26:31 AM,2.15
,",2.15,Absent
164,dBegJDMNBp,8784PRZ5684," 11:26:42 AM, 12:25:05 PM,58.38333333333333
,",58.38,Present
165,tSspauAitM,9311BGG8884," 11:27:38 AM, 11:28:47 AM,1.15
, 11:30:34 AM, 11:44:52 AM,14.3
,",15.45,Absent
166,XfjuMvPiGH,6480RLZ0003," 11:31:47 AM, 11:41:58 AM,10.183333333333334
, 11:59:31 AM, 12:04:22 PM,4.85
,",15.03,Absent
167,hMkYHidXrj,3023BRG7569," 11:32:38 AM, 12:25:02 PM,52.4
,",52.4,Present
168,VVlIdmomUf,," 11:32:42 AM, 12:24:26 PM,51.733333333333334
,",51.73,Present
169,hrKKoVjLHO,7659YZK0470," 11:35:43 AM, 12:23:35 PM,47.86666666666667
,",47.87,Present
170,HojgCrUTmO,9432KLH2975," 11:37:48 AM, 12:02:10 PM,24.366666666666667
,",24.37,Absent
171,IWoaCKnPOE,0654NUL5820," 11:39:54 AM, 12:02:22 PM,22.466666666666665
,",22.47,Absent
172,oHhxLftUHx,7205CUV2945," 11:40:22 AM, 11:41:35 AM,1.2166666666666666
,",1.22,Absent
173,NhnRmgrWVF,4845TVP2585," 11:42:16 AM, 12:25:13 PM,42.95
,",42.95,Present
174,aQyaEZwELy,4106BWA9182," 11:45:23 AM, 12:25:08 PM,39.75
,",39.75,Absent
175,yaVPZmuxEq,8134RBT4147," 11:45:53 AM, 11:48:00 AM,2.1166666666666667
,",2.12,Absent
176,KEodERvKki,9306MWW8126," 11:50:25 AM, 11:51:45 AM,1.3333333333333333
,",1.33,Absent
177,SaGIdCukNI,6469PXB2343," 11:50:48 AM, 12:13:12 PM,22.4
,",22.4,Absent
178,TJyForEfbc,6813GIA6998," 11:51:10 AM, 12:24:55 PM,33.75
,",33.75,Absent
179,unIbmqqjtk,3698AXU0434," 11:55:42 AM, 11:58:13 AM,2.5166666666666666
,",2.52,Absent
180,xzdOqziODg,1647CUT0284," 11:56:03 AM, 12:06:08 PM,10.083333333333334
,",10.08,Absent
181,OdPQABIWmc,4285MGX8767," 11:59:35 AM, 12:02:09 PM,2.566666666666667
, 12:02:53 PM, 12:30:00 PM,27.116666666666667
",2.57,Absent
182,NjQCIWxhIi,1098DOD3024," 12:13:37 PM, 12:30:00 PM,16.383333333333333
",0,Absent
183,VEMdKyOqDI,1596QYK5980," 12:21:14 PM, 12:25:10 PM,3.933333333333333
,",3.93,Absent
184,laCHGVZsdO,7088FTO2914," 12:22:04 PM, 12:24:57 PM,2.8833333333333333
,",2.88,Absent
